geometry,mode,t,median,q25,q75,n_blocks
dinov3_patch/whole_image,binary,116,0.040306219154806165,0.03243942489021491,0.058637577616459526,25
dinov3_patch/whole_image,binary,117,0.04084733035697811,0.03199534256156009,0.05251778829671855,25
dinov3_patch/whole_image,binary,118,0.04202610301288951,0.03225367340527604,0.05470260809533289,25
dinov3_patch/whole_image,binary,119,0.041604705702980034,0.03507430477275501,0.05473409481972101,25
dinov3_patch/whole_image,binary,120,0.04102177721380374,0.03626982991046705,0.05440557692473409,25
dinov3_patch/whole_image,binary,121,0.04306369432791875,0.02991081067453529,0.04961667321892066,25
dinov3_patch/whole_image,binary,122,0.04078236109411184,0.03208123053667625,0.053017403902075294,25
dinov3_patch/whole_image,binary,123,0.03950017252657193,0.030584943699388054,0.04637976728962181,25
dinov3_patch/whole_image,binary,124,0.040763651449577366,0.03062870791692862,0.0448168066476711,25
dinov3_patch/whole_image,binary,125,0.04099274034428792,0.030493838495669907,0.0434959214335999,25
dinov3_patch/whole_image,binary,126,0.04200219100751267,0.028616366698281707,0.04689954634894502,25
dinov3_patch/whole_image,binary,127,0.04086777163126543,0.028920116227108664,0.04658033591806174,25
dinov3_patch/whole_image,binary,128,0.039098425315713434,0.028126844531748636,0.04566681886662752,25
dinov3_patch/whole_image,binary,129,0.039327231858204144,0.028111961204778067,0.045270603074122354,25
dinov3_patch/whole_image,binary,130,0.0397356256295081,0.03262938694921465,0.046810139902280286,25
dinov3_patch/whole_image,binary,131,0.04014845159926371,0.03224094172791223,0.04643872479379342,25
dinov3_patch/whole_image,binary,132,0.036828814484649613,0.03007267582496916,0.04501020323306238,25
dinov3_patch/whole_image,binary,133,0.04065605899749623,0.030430250026257197,0.045908922569153444,25
dinov3_patch/whole_image,binary,134,0.03724819659396454,0.03262637097825203,0.04420081803586302,25
dinov3_patch/whole_image,binary,135,0.036173761382752495,0.02947518504968472,0.04443704094807678,25
dinov3_patch/whole_image,binary,136,0.038253199939901825,0.029056805771263766,0.041085555932231545,25
dinov3_patch/whole_image,binary,137,0.035894253208117045,0.030777206588813846,0.04252551124637762,25
dinov3_patch/whole_image,binary,138,0.03555251618969354,0.028936568720083333,0.04122796487729761,25
dinov3_patch/whole_image,binary,139,0.03608652048892174,0.0317475341381442,0.04343504557794195,25
dinov3_patch/whole_image,binary,140,0.038796511122949684,0.03332082908853512,0.042630889046959955,25
dinov3_patch/whole_image,binary,141,0.03758611345948758,0.028162032661527604,0.04102812635109699,25
dinov3_patch/whole_image,binary,142,0.03970884371187621,0.031130372387707928,0.04459072001460677,25
dinov3_patch/whole_image,binary,143,0.03821006058535947,0.032256435637387885,0.04362291380371463,25
dinov3_patch/whole_image,binary,144,0.03718579543444117,0.031102331971252572,0.04418113296881254,25
dinov3_patch/whole_image,binary,145,0.03917087219978776,0.032571918506914085,0.04648844560759723,25
dinov3_patch/whole_image,binary,146,0.0361491290197179,0.029918436889404224,0.04159755604520788,25
dinov3_patch/whole_image,binary,147,0.036863277901306425,0.028733814188714638,0.04319964288595085,25
dinov3_patch/whole_image,binary,148,0.0363353412001898,0.02829928311347908,0.04238048539186402,25
dinov3_patch/whole_image,binary,149,0.036490563493795716,0.02962295305848596,0.043149030847047694,25
dinov3_patch/whole_image,binary,150,0.035669718584868094,0.030015614310064134,0.040374963125907874,25
siglip/whole_image,binary,2,2.8476619731297836e-17,0.0,7.119154932824459e-17,4
siglip/whole_image,binary,3,1.1390647892519134e-16,2.8476619731297836e-17,1.1390647892519134e-16,6
siglip/whole_image,binary,4,1.1390647892519134e-16,5.695323946259567e-17,1.1390647892519134e-16,25
siglip/whole_image,binary,5,0.06158479822289963,0.03563606003814262,0.08749022598154968,25
siglip/whole_image,binary,6,0.07784025308696077,0.04185775156442289,0.1147382137494213,25
siglip/whole_image,binary,7,0.04236819899936744,0.02471522734858219,0.08274783108723821,25
siglip/whole_image,binary,8,0.06691748834859397,0.05235900143440376,0.08586696393735148,25
siglip/whole_image,binary,9,0.07599827317643472,0.05453230668750889,0.09191444316735965,25
siglip/whole_image,binary,10,0.06560376317228905,0.05679717022315368,0.07837780728349333,25
siglip/whole_image,binary,11,0.06305538143758606,0.04614573463621302,0.07926607345058592,25
siglip/whole_image,binary,12,0.0642053203333075,0.051681720024207074,0.08204293618477108,25
siglip/whole_image,binary,13,0.05584975311786361,0.03989255350019336,0.07892086685134941,25
siglip/whole_image,binary,14,0.05316491369995519,0.03991518723872696,0.0655743779002937,25
siglip/whole_image,binary,15,0.056508905633001545,0.038859191611272347,0.07389378781700622,25
siglip/whole_image,binary,16,0.0583308625389411,0.04125028949419946,0.07573841018539093,25
siglip/whole_image,binary,17,0.05091258270622716,0.03399991933039966,0.07278445999944307,25
siglip/whole_image,binary,18,0.05114055752284452,0.03382789550196857,0.06358280642338528,25
siglip/whole_image,binary,19,0.056898447982602726,0.0377319287493678,0.07501544404601664,25
siglip/whole_image,binary,20,0.05002011991094447,0.040244951595102024,0.06570166265161669,25
siglip/whole_image,binary,21,0.04563394792807906,0.03968060515826738,0.06557519519171544,25
siglip/whole_image,binary,22,0.039946292901713344,0.036376352950205096,0.06815143483254194,25
siglip/whole_image,binary,23,0.04781173478881298,0.03457115068970841,0.06447263533191508,25
siglip/whole_image,binary,24,0.04395680136377317,0.034480177941711744,0.06302674675361832,25
siglip/whole_image,binary,25,0.046666719868575554,0.03852381889234243,0.05540570655304474,25
siglip/whole_image,binary,26,0.04409059205589638,0.0355349338063042,0.05489608486996136,25
