dataset,embedder,seed,trust_k10,trust_k50,cont_k10,shepard,purity_embedding,purity_layout,containment_core,containment_unit,noise,purity_drop
caltech101_m,siglip2_l,1,0.9915906304633264,0.900215720489847,0.9927655221942532,0.4218276086515156,0.9914081145584726,0.9967780429594272,0.8817446963661394,0.8410202278223142,0.0429594272076372,-0.005369928400954627
caltech101_m,siglip2_l,2,0.9900972789461084,0.8998769278923275,0.9925641453453368,0.3417999909437229,0.9914081145584726,0.9976133651551312,0.8836350536886276,0.8196304543237207,0.0656324582338902,-0.006205250596658662
coco_val,siglip2_l,0,0.9613846205394538,0.9350195041887502,0.9672994136371252,0.2610402155240828,0.9301333333333334,0.9282666666666668,0.8933580038268749,0.7081707908938331,0.253,0.001866666666666572
coco_val,siglip2_l,1,0.9609847545652538,0.9317689451188236,0.9664924889707937,0.2479959389489406,0.9308,0.9272333333333336,0.8949194195947049,0.7470281296823453,0.193,0.003566666666666385
coco_val,siglip2_l,2,0.9603419779974312,0.9326528477802474,0.9667489808454794,0.2697273130555371,0.9326,0.9288,0.8939039650803278,0.7092120693700104,0.2283333333333333,0.0038000000000000256
vg_box_large,siglip2_l,0,0.9584684201708829,0.932579123496894,0.9653045624616072,0.2846135124182904,0.5291666666666667,0.5040666666666666,0.8962042012309013,0.7307254423643275,0.179,0.025100000000000122
vg_box_large,siglip2_l,1,0.9560063997319485,0.9279837305522312,0.9635878148210196,0.2358306818579784,0.5439333333333333,0.5121666666666667,0.8969048370776382,0.7223655024119933,0.1713333333333333,0.03176666666666661
vg_box_large,siglip2_l,2,0.9542343664488748,0.9314270678748504,0.9631227229575028,0.2488586142135667,0.5395666666666666,0.5049333333333332,0.8956836545119667,0.7217694890707309,0.2136666666666666,0.034633333333333405
vg_scale_any,siglip2_l,0,0.9520937398782598,0.9223582743488916,0.9603832356061875,0.2516404061201631,0.3467446964155084,0.3390636430138991,0.8959088477476996,0.7389845834840298,0.212,0.00768105340160935
vg_scale_any,siglip2_l,1,0.955820036857095,0.9232212845500656,0.962514301669738,0.2491789693225125,0.3636026686434396,0.3373610081541883,0.8956080906189252,0.6943810000697136,0.2746666666666666,0.026241660489251306
vg_scale_any,siglip2_l,2,0.9505910984531188,0.9241672354248588,0.9605918691014688,0.2580933024394341,0.3758542141230068,0.3482915717539863,0.8933383818062248,0.6925463020941534,0.277,0.027562642369020507
visual_genome_m,siglip2_l,0,0.9486925894901436,0.9040379848407136,0.9523526107108952,0.3284923687069144,0.8559000000000001,0.8329,0.8939553112501363,0.6174679288336272,0.314,0.02300000000000013
visual_genome_m,siglip2_l,1,0.947343474618864,0.9059862905339944,0.9496180934829956,0.3035626084526493,0.8593666666666668,0.8356,0.9498980978260868,0.9498980978260868,0.0,0.023766666666666825
visual_genome_m,siglip2_l,2,0.9425369073546658,0.9016617723827436,0.951043893449489,0.3126158329877572,0.8563666666666668,0.8300333333333333,0.8949634149305614,0.6267168754842161,0.321,0.026333333333333542
