arm,env,inclusion_k,n_cells,n_steps,d_regret,ci_lo,ci_hi,win_rate,d_regret_cost
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,-6,74,14782,0.02589951908682476,0.01871815114205717,0.033996898771380755,0.0846299553511027,1.657569408416748
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,-6,74,14782,0.044622417778481506,0.03483243277925696,0.05437590089965629,0.1122310918684887,2.8558349609375
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,-6,74,14782,0.06865338105005837,0.05753007735484738,0.08047816110682081,0.0700175889595454,4.3938164710998535
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,-4,74,14782,-0.005195941870428018,-0.00819565191409925,-0.002340526674399029,0.5196184548775538,-0.08313506096601486
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,-4,74,14782,0.008750735108667475,0.005279481993806553,0.012185725420189357,0.26626978757948855,0.1400117576122284
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,-4,74,14782,0.019427576025623852,0.012332804933169895,0.025601540765146143,0.20227303477202002,0.31084123253822327
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,-4,74,14782,0.020260307623224484,0.013520276268811996,0.02643692564530726,0.19381680422135028,0.3241649270057678
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,-4,74,14782,0.02336340417379098,0.018783788294613996,0.028195099909941276,0.20545257745907183,0.3738144636154175
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,-4,74,14782,0.031573997476673846,0.025223526803762757,0.03847467755174728,0.10668380462724936,0.50518399477005
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,-4,74,14782,0.03971584550281231,0.03148318359988578,0.04803823281041774,0.15119740224597483,0.6354535222053528
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,-4,74,14782,0.05048286233953125,0.04052541738453107,0.06121775605279253,0.17683669327560547,0.8077258467674255
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,-3,74,14782,-0.009567323498698455,-0.013410196578076244,-0.00586046654656506,0.5666350967392775,-0.0765385851264
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,-3,74,14782,0.006340795345651615,0.0016201143787691616,0.0108206371659656,0.2821675010147477,0.05072636157274246
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,-3,74,14782,0.03402558392357408,0.026367624734337222,0.041824844841313595,0.14700311189284265,0.2722046971321106
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,-3,74,14782,0.03423857989582757,0.02779184162755956,0.0416946157901539,0.1208902719523745,0.2739086151123047
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,-3,74,14782,0.03726540777102314,0.027333058434384373,0.046542466489827836,0.1990934920849682,0.2981232702732086
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,-3,74,14782,0.03742108620291047,0.029730909647490054,0.04542586395390743,0.18427817616019485,0.2993687093257904
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,-3,74,14782,0.05518200526303436,0.04550171461093201,0.06438204637198469,0.20782032201325937,0.44145599007606506
