window,env,arm,metric,mean,se,n,n_clusters,frac_ref_better
t10,coco_val/siglip2_l,svmc10,n_good,-0.010526315789473684,0.04181184311513328,95,19,0.12631578947368421
t10,vg/siglip,linear,cost,0.030553965217391302,0.009301477009590739,115,23,0.6521739130434783
t10,vg/siglip,linear,oracle_cost,0.019822730434782602,0.008737979528930096,115,23,0.6260869565217392
t10,vg/siglip,linear,regret,0.010731234782608692,0.006367786805323163,115,23,0.5565217391304348
t10,vg/siglip,linear,average_precision,-0.003822582608695652,0.0069556212597607185,115,23,0.5565217391304348
t10,vg/siglip,linear,auroc,-0.007001886956521744,0.005518788753470009,115,23,0.6
t10,vg/siglip,linear,f1,-0.005639521739130432,0.004059736832136267,115,23,0.5565217391304348
t10,vg/siglip,linear,fnr,0.03308413913043478,0.014290765051363426,115,23,0.5391304347826087
t10,vg/siglip,linear,fpr,-0.0025301826086956505,0.010750788540226534,115,23,0.5130434782608696
t10,vg/siglip,linear,n_good,0.06956521739130435,0.0527634674971233,115,23,0.10434782608695652
t10,vg/siglip,mlp,cost,0.018010121739130434,0.013127709662288774,115,23,0.5391304347826087
t10,vg/siglip,mlp,oracle_cost,0.01193735652173913,0.012020326033374043,115,23,0.5739130434782609
t10,vg/siglip,mlp,regret,0.0060727826086956534,0.0075911324570853015,115,23,0.4782608695652174
t10,vg/siglip,mlp,average_precision,0.004008991304347828,0.007780441342384702,115,23,0.45217391304347826
t10,vg/siglip,mlp,auroc,-0.006525521739130439,0.007794733437136012,115,23,0.5826086956521739
t10,vg/siglip,mlp,f1,0.0029190086956521737,0.004960502457185522,115,23,0.45217391304347826
t10,vg/siglip,mlp,fnr,0.046551869565217396,0.012993125371808243,115,23,0.6347826086956522
t10,vg/siglip,mlp,fpr,-0.02854173043478261,0.012873281041521984,115,23,0.3565217391304348
t10,vg/siglip,mlp,n_good,0.06956521739130435,0.07069244823528077,115,23,0.12173913043478261
t10,vg/siglip,linconv,cost,0.02626453043478261,0.016921983005437093,115,23,0.5826086956521739
t10,vg/siglip,linconv,oracle_cost,0.03426752173913044,0.017421214538963895,115,23,0.6086956521739131
t10,vg/siglip,linconv,regret,-0.008002982608695652,0.006024309064738971,115,23,0.43478260869565216
t10,vg/siglip,linconv,average_precision,-0.028060947826086955,0.012144441055657632,115,23,0.591304347826087
t10,vg/siglip,linconv,auroc,-0.01691197391304349,0.010159975425729705,115,23,0.5826086956521739
t10,vg/siglip,linconv,f1,-0.005629878260869564,0.00479362714091582,115,23,0.43478260869565216
t10,vg/siglip,linconv,fnr,0.04673035652173913,0.01756979358848952,115,23,0.591304347826087
t10,vg/siglip,linconv,fpr,-0.020465869565217384,0.01190370697240979,115,23,0.3739130434782609
t10,vg/siglip,linconv,n_good,-0.06956521739130435,0.049676734682577,115,23,0.16521739130434782
t10,vg/siglip,svmc01,cost,-0.007069339130434785,0.009515090561186405,115,23,0.46956521739130436
t10,vg/siglip,svmc01,oracle_cost,-0.005615217391304348,0.007935095389290566,115,23,0.45217391304347826
t10,vg/siglip,svmc01,regret,-0.0014540956521739122,0.005461082761175321,115,23,0.43478260869565216
t10,vg/siglip,svmc01,average_precision,-0.0016751826086956443,0.0060291347876830145,115,23,0.48695652173913045
t10,vg/siglip,svmc01,auroc,0.006012947826086958,0.005377792000120133,115,23,0.46956521739130436
t10,vg/siglip,svmc01,f1,9.8017391304351e-05,0.0035359455686104647,115,23,0.4956521739130435
t10,vg/siglip,svmc01,fnr,-0.005295921739130435,0.009769079818409552,115,23,0.3826086956521739
t10,vg/siglip,svmc01,fpr,-0.001773304347826086,0.008749219965166762,115,23,0.4782608695652174
t10,vg/siglip,svmc01,n_good,-0.008695652173913044,0.06591197971755203,115,23,0.11304347826086956
t10,vg/siglip,svmc10,cost,0.020139521739130438,0.013883813225671624,115,23,0.5304347826086957
t10,vg/siglip,svmc10,oracle_cost,0.019105226086956518,0.012522995330445996,115,23,0.5739130434782609
t10,vg/siglip,svmc10,regret,0.0010342782608695643,0.0051258214916621555,115,23,0.5304347826086957
t10,vg/siglip,svmc10,average_precision,-0.017805191304347823,0.010208794765078327,115,23,0.5304347826086957
t10,vg/siglip,svmc10,auroc,-0.008223026086956523,0.0072764659003707,115,23,0.5826086956521739
t10,vg/siglip,svmc10,f1,-0.0061222,0.0037182616169408817,115,23,0.5130434782608696
t10,vg/siglip,svmc10,fnr,0.02159421739130435,0.01165683282217331,115,23,0.43478260869565216
t10,vg/siglip,svmc10,fpr,-0.0014546869565217372,0.00890151755553147,115,23,0.48695652173913045
t10,vg/siglip,svmc10,n_good,-0.02608695652173913,0.0537956135362817,115,23,0.13043478260869565
t10,vg/siglip2_l,linear,cost,0.031688782608695655,0.010976749371190496,115,23,0.6695652173913044
t10,vg/siglip2_l,linear,oracle_cost,0.030471217391304338,0.008585645952838734,115,23,0.6869565217391305
